timestamp,x,y
1659722490.000,1130.894954,-780.777416
1659722491.000,1130.894954,-780.777416
1659722492.000,1130.894954,-780.777416
1659722493.000,1130.894954,-780.777416
1659722494.000,1130.894954,-780.777416
1659722495.000,1130.894954,-780.777416
1659722496.000,1130.888188,-780.777416
1659722497.000,1130.888188,-780.777416
1659722498.000,1130.888188,-780.788536
1659722499.000,1130.888188,-780.788536
1659722500.000,1130.881421,-780.788536
1659722501.000,1130.881421,-780.788536
1659722502.000,1130.881421,-780.788536
1659722503.000,1130.881421,-780.788536
1659722504.000,1130.874655,-780.799655
1659722505.000,1130.881421,-780.788536
1659722506.000,1130.888188,-780.788536
1659722507.000,1131.131772,-780.821894
1659722508.000,1131.199434,-780.821894
1659722509.000,1131.212967,-780.833014
1659722510.000,1131.212967,-780.833014
1659722511.000,1131.212967,-780.833014
1659722512.000,1131.212967,-780.833014
1659722513.000,1131.212967,-780.833014
1659722514.000,1131.212967,-780.833014
1659722515.000,1131.212967,-780.833014
1659722516.000,1131.212967,-780.833014
1659722517.000,1131.206201,-780.844133
1659722518.000,1131.206201,-780.844133
1659722519.000,1131.199434,-780.844133
1659722520.000,1131.192668,-780.844133
1659722521.000,1131.185902,-780.844133
1659722522.000,1131.192668,-780.844133
1659722523.000,1131.199434,-780.833014
1659722524.000,1131.206201,-780.833014
1659722525.000,1131.212967,-780.821894
1659722526.000,1131.212967,-780.821894
1659722527.000,1131.212967,-780.821894
1659722528.000,1131.206201,-780.821894
1659722529.000,1131.212967,-780.810775
1659722530.000,1131.212967,-780.810775
1659722531.000,1131.219733,-780.799655
1659722532.000,1131.212967,-780.810775
1659722533.000,1131.219733,-780.810775
1659722534.000,1131.219733,-780.810775
1659722535.000,1131.226499,-780.799655
1659722536.000,1131.226499,-780.799655
1659722537.000,1131.226499,-780.799655
1659722538.000,1131.226499,-780.788536
1659722539.000,1131.233266,-780.788536
1659722540.000,1131.233266,-780.777416
1659722541.000,1131.240032,-780.777416
1659722542.000,1131.246798,-780.766297
1659722543.000,1131.253564,-780.766297
